,Layer,Sub-Key,Min,Max,Delta,Offset,Source
0,conv1,weight,-0.39387544989585876,0.39387544989585876,0.0031013814952429823,-127.0,TF
1,conv1,bias,-0.6932891607284546,0.6932891607284546,0.005458969769515391,-127.0,TF
2,layer1.0.conv1,weight,-0.3745041489601135,0.3745041489601135,0.002948851566615067,-127.0,TF
3,layer1.0.conv1,bias,-1.1022106409072876,1.1022106409072876,0.008678823944151872,-127.0,TF
4,layer1.0.conv2,weight,-0.7707811594009399,0.7707811594009399,0.006069142987408976,-127.0,TF
5,layer1.0.conv2,bias,-1.7853344678878784,1.7853344678878784,0.014057751715652586,-127.0,TF
6,layer1.1.conv1,weight,-0.2799574136734009,0.2799574136734009,0.0022043890840425266,-127.0,TF
7,layer1.1.conv1,bias,-1.2079195976257324,1.2079195976257324,0.009511177934060885,-127.0,TF
8,layer1.1.conv2,weight,-1.0473909378051758,1.0473909378051758,0.008247172738623432,-127.0,TF
9,layer1.1.conv2,bias,-1.170573115348816,1.170573115348816,0.009217111144478865,-127.0,TF
10,layer2.0.conv1,weight,-0.21269579231739044,0.21269579231739044,0.0016747700182471689,-127.0,TF
11,layer2.0.conv1,bias,-0.7400765419006348,0.7400765419006348,0.005827374345674289,-127.0,TF
12,layer2.0.conv2,weight,-0.7241502404212952,0.7241502404212952,0.005701970397018072,-127.0,TF
13,layer2.0.conv2,bias,-1.446347951889038,1.446347951889038,0.011388566550307386,-127.0,TF
14,layer2.0.downsample.0,weight,-0.6922507882118225,0.6922507882118225,0.005450793607967106,-127.0,TF
15,layer2.0.downsample.0,bias,-1.1103509664535522,1.1103509664535522,0.008742920995697262,-127.0,TF
16,layer2.1.conv1,weight,-0.3110506236553192,0.3110506236553192,0.0024492175090970016,-127.0,TF
17,layer2.1.conv1,bias,-0.8257396221160889,0.8257396221160889,0.00650188678831566,-127.0,TF
18,layer2.1.conv2,weight,-0.8770784139633179,0.8770784139633179,0.006906129243805652,-127.0,TF
19,layer2.1.conv2,bias,-1.159238576889038,1.159238576889038,0.009127862810149906,-127.0,TF
20,layer3.0.conv1,weight,-0.23571734130382538,0.23571734130382538,0.001856042057510436,-127.0,TF
21,layer3.0.conv1,bias,-0.8612890243530273,0.8612890243530273,0.00678180334136242,-127.0,TF
22,layer3.0.conv2,weight,-0.563919186592102,0.563919186592102,0.004440308555843323,-127.0,TF
23,layer3.0.conv2,bias,-0.6091494560241699,0.6091494560241699,0.004796452409639133,-127.0,TF
24,layer3.0.downsample.0,weight,-0.4081612229347229,0.4081612229347229,0.0032138678971238024,-127.0,TF
25,layer3.0.downsample.0,bias,-0.3355441093444824,0.3355441093444824,0.002642079601137657,-127.0,TF
26,layer3.1.conv1,weight,-0.27238303422927856,0.27238303422927856,0.0021447483010179416,-127.0,TF
27,layer3.1.conv1,bias,-0.8067159056663513,0.8067159056663513,0.006352093745404341,-127.0,TF
28,layer3.1.conv2,weight,-0.9701208472251892,0.9701208472251892,0.007638746828544797,-127.0,TF
29,layer3.1.conv2,bias,-1.061082124710083,1.061082124710083,0.008354977359921913,-127.0,TF
30,layer4.0.conv1,weight,-0.30162283778190613,0.30162283778190613,0.002374982974660678,-127.0,TF
31,layer4.0.conv1,bias,-0.564267635345459,0.564267635345459,0.004443052246814638,-127.0,TF
32,layer4.0.conv2,weight,-1.1437747478485107,1.1437747478485107,0.009006100376759927,-127.0,TF
33,layer4.0.conv2,bias,-1.1255919933319092,1.1255919933319092,0.008862929081353615,-127.0,TF
34,layer4.0.downsample.0,weight,-0.9982079863548278,0.9982079863548278,0.007859905404368723,-127.0,TF
35,layer4.0.downsample.0,bias,-0.7599548697471619,0.7599548697471619,0.005983896612182377,-127.0,TF
36,layer4.1.conv1,weight,-0.2932627201080322,0.2932627201080322,0.0023091552764411987,-127.0,TF
37,layer4.1.conv1,bias,-0.8511659502983093,0.8511659502983093,0.006702094096837081,-127.0,TF
38,layer4.1.conv2,weight,-3.648308038711548,3.648308038711548,0.028726834950484628,-127.0,TF
39,layer4.1.conv2,bias,-2.225013017654419,2.225013017654419,0.017519787540585977,-127.0,TF
40,fc,weight,-0.7152369618415833,0.7152369618415833,0.005631787101114828,-127.0,TF
41,fc,bias,-0.061649736016988754,0.061649736016988754,0.000485430992259754,-127.0,TF
